0.73305,1.46610
0.57161,1.14322
0.52359,1.04719
0.49429,0.98858
0.47553,0.95107
0.46214,0.92428
0.45161,0.90322
0.44199,0.88398
0.43330,0.86661
0.42493,0.84985
0.41643,0.83285
0.40790,0.81580
0.39912,0.79825
0.39043,0.78087
0.38166,0.76333
0.37297,0.74595
0.36415,0.72830
0.35540,0.71080
0.34676,0.69352
0.33874,0.67748
0.33112,0.66223
0.32395,0.64790
0.31717,0.63434
0.31076,0.62152
0.30483,0.60966
0.29933,0.59866
0.29433,0.58867
0.28980,0.57960
0.28568,0.57135
0.28191,0.56382
0.27854,0.55708
0.27555,0.55109
0.27289,0.54578
0.27046,0.54093
0.26830,0.53659
0.26636,0.53272
0.26463,0.52926
0.26307,0.52613
0.26165,0.52331
0.26034,0.52068
0.25917,0.51834
0.25806,0.51612
0.25700,0.51400
0.25602,0.51204
0.25514,0.51027
0.25433,0.50866
0.25356,0.50713
0.25282,0.50564
0.25210,0.50421
0.25147,0.50295
0.25093,0.50187
0.25046,0.50092
0.25002,0.50004
0.24958,0.49917
0.24915,0.49830
0.24873,0.49747
0.24833,0.49666
0.24795,0.49589
0.24759,0.49518
0.24726,0.49451
0.24693,0.49385
0.24661,0.49322
0.24629,0.49257
0.24598,0.49196
0.24569,0.49137
0.24538,0.49077
0.24507,0.49015
0.24474,0.48947
0.24440,0.48880
0.24406,0.48813
0.24373,0.48745
0.24339,0.48678
0.24308,0.48616
0.24280,0.48559
0.24251,0.48501
0.24226,0.48453
0.24202,0.48404
0.24178,0.48357
0.24156,0.48312
0.24133,0.48266
0.24110,0.48221
0.24086,0.48173
0.24058,0.48117
0.24026,0.48052
0.23983,0.47966
0.23942,0.47883
0.23898,0.47797
0.23849,0.47699
0.23788,0.47577
0.23713,0.47426
0.23629,0.47258
0.23537,0.47074
0.23434,0.46869
0.23366,0.46732
0.23293,0.46586
0.23213,0.46426
0.23123,0.46245
0.23040,0.46080
0.22977,0.45954
0.22918,0.45837
0.22859,0.45717
0.22795,0.45590
0.22728,0.45457
0.22662,0.45323
0.22595,0.45190
0.22528,0.45055
0.22473,0.44946
0.22425,0.44851
0.22376,0.44753
0.22327,0.44653
0.22276,0.44553
0.22226,0.44452
0.22178,0.44355
0.22130,0.44260
0.22090,0.44180
0.22052,0.44104
0.22014,0.44028
0.21976,0.43952
0.21941,0.43883
0.21908,0.43817
0.21875,0.43750
0.21840,0.43681
0.21804,0.43607
0.21770,0.43541
0.21738,0.43477
0.21707,0.43413
0.21675,0.43351
